name,code,fullv
Afghanistan,AFG,4.648
Albania,ALB,45.91
American Samoa,ASM,95.601
Andorra,AND,111.719
Angola,AGO,5.256
Anguilla,AIA,123.03
Antigua and Barbuda,ATG,71.612
Argentina,ARG,79.738
Armenia,ARM,7.432
Aruba,ABW,132.257
Australia,AUS,53.817
Austria,AUT,114.459
Azerbaijan,AZE,57.149
Bahamas,BHS,28.085
Bahrain,BHR,143.044
Bangladesh,BGD,13.193
Barbados,BRB,63.851
Belarus,BLR,26.899
Belgium,BEL,135.412
Belize,BLZ,51.588
Benin,BEN,0.602
Bermuda,BMU,133.761
Bhutan,BTN,134.202
Bolivia (Plurinational State of),BOL,42.337
Bonaire,XAA,137.303
"Bonaire, Sint Eustatius and Saba",BES,28.441
Bosnia and Herzegovina,BIH,26.375
Botswana,BWA,11.151
Brazil,BRA,71.889
British Virgin Islands,VGB,96.478
Brunei Darussalam,BRN,36.413
Bulgaria,BGR,31.129
Burkina Faso,BFA,0.342
Cabo Verde,CPV,42.623
Cambodia,KHM,78.748
Cameroon,CMR,1.489
Canada,CAN,135.768
Cayman Islands,CYM,150.934
Central African Republic,CAF,1.985
Chad,TCD,0.204
Chile,CHL,134.204
China,CHN,120.766
Colombia,COL,61.218
Comoros,COM,24.853
Congo,COG,2.746
Cook Islands,COK,123.895
Costa Rica,CRI,71.524
Côte d’Ivoire,CIV,4.288
Croatia,HRV,78.116
Cuba,CUB,100.731
Curaçao,CUW,108.607
Cyprus,CYP,118.408
Czechia,CZE,102.944
Democratic Republic of the Congo,COD,0.096
Denmark,DNK,139.282
Djibouti,DJI,2.712
Dominica,DMA,56.667
Dominican Republic,DOM,97.728
Ecuador,ECU,79.902
Egypt,EGY,6.33
El Salvador,SLV,77.796
Equatorial Guinea,GNQ,22.983
Estonia,EST,91.357
Eswatini,SWZ,12.147
Ethiopia,ETH,2.013
Falkland Islands (Malvinas),FLK,126.529
Faroe Islands,FRO,141.903
Fiji,FJI,77.07
Finland,FIN,112.788
France,FRA,124.219
French Guiana,GUF,37.821
French Polynesia,PYF,49.115
Gabon,GAB,5.291
Gambia,GMB,1.689
Georgia,GEO,20.852
Germany,DEU,117.696
Ghana,GHA,4.092
Gibraltar,GIB,233.119
Greece,GRC,102.798
Greenland,GRL,121.047
Grenada,GRD,34.767
Guadeloupe,GLP,38.838
Guam,GUM,120.164
Guatemala,GTM,16.547
Guernsey,GGY,150.681
Guinea,GIN,7.256
Guinea-Bissau,GNB,1.548
Guyana,GUY,54.107
Haiti,HTI,0.168
Honduras,HND,28.114
Iceland,ISL,131.052
India,IND,40.627
Indonesia,IDN,30.818
Iran (Islamic Republic of),IRN,23.686
Iraq,IRQ,2.705
Ireland,IRL,128.337
Isle of Man,IMN,147.711
Israel,ISR,142.447
Italy,ITA,124.095
Jamaica,JAM,13.207
Japan,JPN,66.423
Jersey,JEY,134.417
Jordan,JOR,58.347
Kazakhstan,KAZ,57.575
Kenya,KEN,3.819
Kiribati,KIR,11.695
Kosovo,XKX,30.059
Kuwait,KWT,55.73
Kyrgyzstan,KGZ,13.607
Lao People's Democratic Republic,LAO,28.186
Latvia,LVA,74.886
Lebanon,LBN,32.382
