Country,New Cases,Cumulative Cases,% Relative to Max Cases,New Deaths,Cumulative Deaths,% Relative to Max Deaths
Afghanistan,120,152363,0.41,12,7043,1.14
Albania,451,136598,0.37,2,2468,0.40
Algeria,0,187968,0.51,0,4830,0.78
American Samoa,0,0,0.00,0,0,0.00
Andorra,6,14960,0.04,0,129,0.02
Angola,233,44964,0.12,15,1118,0.18
Anguilla,0,137,0.00,0,0,0.00
Antigua and Barbuda,0,1397,0.00,0,43,0.01
Argentina,3636,5088271,13.84,64,109105,17.67
Armenia,504,235675,0.64,3,4716,0.76
Aruba,56,13406,0.04,2,121,0.02
Australia,498,40097,0.11,2,967,0.16
Austria,864,665862,1.81,0,10558,1.71
Azerbaijan,3322,373175,1.01,18,5188,0.84
Bahamas,0,16668,0.05,0,313,0.05
Bahrain,105,271130,0.74,0,1384,0.22
Bangladesh,0,1433396,3.90,0,24547,3.97
Barbados,33,4581,0.01,0,48,0.01
Belarus,597,462794,1.26,12,3625,0.59
Belgium,3,1156620,3.14,0,25299,4.10
Belize,163,15010,0.04,0,344,0.06
Benin,1118,10183,0.03,6,119,0.02
Bermuda,23,2698,0.01,0,33,0.01
Bhutan,0,2577,0.01,0,3,0.00
Bolivia (Plurinational State of),597,483025,1.31,13,18198,2.95
Bonaire,1,1724,0.00,0,17,0.00
Bosnia and Herzegovina,276,207847,0.57,5,9716,1.57
Botswana,0,142380,0.39,0,2043,0.33
Brazil,14471,20378570,55.41,434,569492,92.21
British Virgin Islands,9,2561,0.01,0,37,0.01
Brunei Darussalam,65,852,0.00,0,3,0.00
Bulgaria,1405,435940,1.19,19,18395,2.98
Burkina Faso,0,13677,0.04,0,170,0.03
Burundi,0,10198,0.03,0,10,0.00
Cabo Verde,38,34445,0.09,0,300,0.05
Cambodia,556,86597,0.24,14,1718,0.28
Cameroon,0,82454,0.22,0,1338,0.22
Canada,4004,1455973,3.96,3,26704,4.32
Cayman Islands,5,656,0.00,0,2,0.00
Central African Republic,0,11251,0.03,0,99,0.02
Chad,0,4984,0.01,0,174,0.03
Chile,398,1630330,4.43,18,36438,5.90
China,49,122482,0.33,0,5669,0.92
Colombia,3161,4870922,13.24,121,123580,20.01
Comoros,0,4039,0.01,0,147,0.02
Congo,0,13398,0.04,0,179,0.03
Cook Islands,0,0,0.00,0,0,0.00
Costa Rica,878,432149,1.18,19,5255,0.85
Côte d’Ivoire,340,52583,0.14,2,365,0.06
Croatia,524,367933,1.00,3,8291,1.34
Cuba,9772,536609,1.46,68,4156,0.67
Curaçao,32,14602,0.04,1,134,0.02
Cyprus,412,109665,0.30,3,464,0.08
Czechia,299,1676817,4.56,2,30378,4.92
Democratic People's Republic of Korea,0,0,0.00,0,0,0.00
Democratic Republic of the Congo,155,53501,0.15,0,1050,0.17
Denmark,886,332622,0.90,2,2562,0.41
Djibouti,6,11689,0.03,0,156,0.03
Dominica,10,953,0.00,0,0,0.00
Dominican Republic,51,346510,0.94,0,3985,0.65
Ecuador,0,495115,1.35,0,31985,5.18
Egypt,112,285577,0.78,5,16630,2.69
El Salvador,0,90129,0.25,10,2804,0.45
Equatorial Guinea,0,8972,0.02,0,123,0.02
Eritrea,6,6609,0.02,0,37,0.01
Estonia,286,137800,0.37,0,1281,0.21
Eswatini,747,37261,0.10,9,951,0.15
Ethiopia,856,290818,0.79,6,4495,0.73
Falkland Islands (Malvinas),0,64,0.00,0,0,0.00
Faroe Islands,1,993,0.00,0,2,0.00
Fiji,590,41177,0.11,11,405,0.07
Finland,673,119320,0.32,0,1006,0.16
France,17104,6334234,17.22,125,111634,18.07
French Guiana,246,32426,0.09,1,201,0.03
French Polynesia,2164,32705,0.09,13,224,0.04
Gabon,0,25607,0.07,0,165,0.03
Gambia,123,9318,0.03,6,277,0.04
Georgia,5914,496376,1.35,49,6532,1.06
Germany,8324,3835375,10.43,22,91921,14.88
Ghana,1146,112378,0.31,15,945,0.15
Gibraltar,15,5235,0.01,1,96,0.02
Greece,4412,543749,1.48,16,13253,2.15
Greenland,8,257,0.00,0,0,0.00
Grenada,0,188,0.00,0,1,0.00
Guadeloupe,0,35283,0.10,0,346,0.06
Guam,60,8750,0.02,1,144,0.02
Guatemala,0,413797,1.13,0,11189,1.81
Guernsey,3,1088,0.00,0,18,0.00
Guinea,137,28255,0.08,1,293,0.05
Guinea-Bissau,83,5206,0.01,4,94,0.02
Guyana,14,23575,0.06,4,578,0.09
Haiti,0,20556,0.06,0,576,0.09
Holy See,0,26,0.00,0,0,0.00
Honduras,3596,319831,0.87,67,8440,1.37
Hungary,109,810658,2.20,3,30045,4.86
Iceland,104,9682,0.03,0,30,0.00
India,35178,32285857,87.79,440,432519,70.03
Indonesia,0,3892479,10.58,0,120013,19.43
Iran (Islamic Republic of),50228,4517243,12.28,625,99108,16.05
Iraq,8778,1793372,4.88,75,19815,3.21
Ireland,1496,327684,0.89,0,5059,0.82
Isle of Man,62,6013,0.02,0,29,0.00
Israel,7903,959129,2.61,14,6708,1.09
Italy,5268,4449606,12.10,54,128510,20.81
Jamaica,630,59088,0.16,9,1320,0.21
Japan,19231,1179176,3.21,36,15467,2.50
Jersey,99,8917,0.02,0,74,0.01
Jordan,1066,785697,2.14,17,10239,1.66
Kazakhstan,0,774760,2.11,0,11725,1.90
Kenya,1488,222894,0.61,4,4354,0.70
Kiribati,0,0,0.00,0,0,0.00
Kosovo[1],1765,118709,0.32,5,2281,0.37
Kuwait,256,407139,1.11,2,2395,0.39
Kyrgyzstan,269,172937,0.47,5,2462,0.40
Lao People's Democratic Republic,207,10648,0.03,0,9,0.00
Latvia,154,140325,0.38,2,2565,0.42
Lebanon,1178,584896,1.59,6,7988,1.29
Lesotho,0,14352,0.04,0,399,0.06
Liberia,0,5508,0.01,0,245,0.04
Libya,2276,286894,0.78,23,3956,0.64
Liechtenstein,0,3292,0.01,0,58,0.01
Lithuania,646,291412,0.79,3,4461,0.72
Luxembourg,0,74690,0.20,0,828,0.13
Madagascar,0,42819,0.12,0,954,0.15
Malawi,244,58465,0.16,15,1998,0.32
Malaysia,19631,1444270,3.93,293,13077,2.12
Maldives,0,79419,0.22,0,222,0.04
Mali,4,14702,0.04,0,535,0.09
Malta,54,35434,0.10,2,433,0.07
Marshall Islands,0,4,0.00,0,0,0.00
Martinique,517,32002,0.09,19,243,0.04
Mauritania,281,30635,0.08,2,647,0.10
Mauritius,338,6460,0.02,0,22,0.00
Mayotte,11,19625,0.05,0,175,0.03
Mexico,7172,3108438,8.45,272,248652,40.26
Micronesia (Federated States of),0,0,0.00,0,0,0.00
Monaco,6,3080,0.01,0,35,0.01
Mongolia,1298,184950,0.50,4,884,0.14
Montenegro,548,107041,0.29,2,1646,0.27
Montserrat,0,23,0.00,0,1,0.00
Morocco,9041,772394,2.10,123,11242,1.82
Mozambique,1033,140071,0.38,17,1748,0.28
Myanmar,0,360291,0.98,0,13623,2.21
Namibia,154,122699,0.33,3,3288,0.53
Nauru,0,0,0.00,0,0,0.00
Nepal,0,737294,2.00,0,10354,1.68
Netherlands,2358,1906434,5.18,5,17920,2.90
New Caledonia,0,134,0.00,0,0,0.00
New Zealand,10,2580,0.01,0,26,0.00
Nicaragua,303,8496,0.02,1,198,0.03
Niger,10,5734,0.02,0,196,0.03
Nigeria,357,183444,0.50,6,2229,0.36
Niue,0,0,0.00,0,0,0.00
North Macedonia,995,163452,0.44,14,5574,0.90
Northern Mariana Islands,1,220,0.00,0,2,0.00
Norway,534,145012,0.39,1,810,0.13
Palestinian - East Jerusalem,895,351000,0.95,0,3893,0.63
Oman,173,300581,0.82,8,4007,0.65
Other,0,764,0.00,0,13,0.00
Pakistan,3221,1105300,3.01,95,24573,3.98
Palau,0,0,0.00,0,0,0.00
Panama,444,448268,1.22,11,6962,1.13
Papua New Guinea,12,17844,0.05,0,192,0.03
Paraguay,147,456842,1.24,16,15455,2.50
Peru,553,2134365,5.80,94,197487,31.98
Philippines,10035,1765675,4.80,96,30462,4.93
Pitcairn Islands,0,0,0.00,0,0,0.00
Poland,207,2885883,7.85,1,75307,12.19
Portugal,2118,1006588,2.74,11,17584,2.85
Puerto Rico,362,159187,0.43,11,2678,0.43
Qatar,269,229697,0.62,0,601,0.10
Republic of Korea,1805,228657,0.62,5,2178,0.35
Republic of Moldova,345,262589,0.71,7,6320,1.02
Réunion,0,46754,0.13,0,310,0.05
Romania,541,1088594,2.96,6,34365,5.56
Russian Federation,20914,6663473,18.12,799,172909,28.00
Rwanda,557,80704,0.22,8,977,0.16
Saba,0,9,0.00,0,0,0.00
Saint Barthélemy,0,1532,0.00,0,1,0.00
Saint Helena,0,0,0.00,0,0,0.00
Saint Kitts and Nevis,26,681,0.00,0,3,0.00
Saint Lucia,109,6475,0.02,0,95,0.02
Saint Martin,0,3092,0.01,0,33,0.01
Saint Pierre and Miquelon,0,30,0.00,0,0,0.00
Saint Vincent and the Grenadines,0,2317,0.01,0,12,0.00
Samoa,0,1,0.00,0,0,0.00
San Marino,6,5244,0.01,0,90,0.01
Sao Tome and Principe,3,2492,0.01,0,37,0.01
Saudi Arabia,569,539698,1.47,12,8431,1.37
Senegal,148,71002,0.19,0,1614,0.26
Serbia,1484,734816,2.00,3,7177,1.16
Seychelles,48,19272,0.05,0,98,0.02
Sierra Leone,1,6343,0.02,0,121,0.02
Singapore,56,66281,0.18,1,45,0.01
Sint Eustatius,0,23,0.00,0,0,0.00
Sint Maarten,42,3227,0.01,1,41,0.01
Slovakia,112,393722,1.07,1,12547,2.03
Slovenia,318,261804,0.71,0,4764,0.77
Solomon Islands,0,20,0.00,0,0,0.00
Somalia,0,16399,0.04,0,892,0.14
South Africa,10685,2624254,7.14,553,77993,12.63
South Sudan,16,11223,0.03,0,120,0.02
Spain,5558,4733602,12.87,8,82739,13.40
Sri Lanka,0,365683,0.99,0,6377,1.03
Sudan,0,37616,0.10,0,2784,0.45
Suriname,48,26641,0.07,2,685,0.11
Sweden,1781,1112958,3.03,0,14659,2.37
Switzerland,9,740814,2.01,0,10372,1.68
Syrian Arab Republic,70,26479,0.07,2,1942,0.31
Tajikistan,0,16623,0.05,0,125,0.02
Thailand,20515,968957,2.63,312,8285,1.34
The United Kingdom,26628,6322245,17.19,170,131149,21.23
Timor-Leste,0,12929,0.04,0,38,0.01
Togo,273,18359,0.05,2,170,0.03
Tokelau,0,0,0.00,0,0,0.00
Tonga,0,0,0.00,0,0,0.00
Trinidad and Tobago,89,41955,0.11,8,1188,0.19
Tunisia,1062,626750,1.70,21,21926,3.55
Turkey,21692,6118508,16.64,183,53507,8.66
Turkmenistan,0,0,0.00,0,0,0.00
Turks and Caicos Islands,0,2568,0.01,0,19,0.00
Tuvalu,0,0,0.00,0,0,0.00
Uganda,0,97124,0.26,0,2893,0.47
Ukraine,1447,2268666,6.17,40,53336,8.64
United Arab Emirates,1115,704000,1.91,3,2006,0.32
United Republic of Tanzania,0,1367,0.00,0,50,0.01
United States of America,113803,36777391,100.00,531,617628,100.00
United States Virgin Islands,31,5326,0.01,0,41,0.01
Uruguay,95,383387,1.04,1,6004,0.97
Uzbekistan,851,145615,0.40,7,994,0.16
Vanuatu,0,3,0.00,0,0,0.00
Venezuela (Bolivarian Republic of),861,319955,0.87,16,3815,0.62
Viet Nam,9605,293301,0.80,331,6472,1.05
Wallis and Futuna,0,454,0.00,0,7,0.00
Yemen,39,7347,0.02,2,1407,0.23
Zambia,358,202787,0.55,12,3550,0.57
Zimbabwe,514,121046,0.33,18,4156,0.67
