COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,,,,name,code,fullv
Afghanistan,AFG,EMRO,REPORTING,8/11/2021,1809517,770302,4.648,1.979,1039215,2.67,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,4,,,,Afghanistan,AFG,2.67
Albania,ALB,EURO,OWID,8/15/2021,1321198,750965,45.91,26.095,570233,19.815,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,,,Albania,ALB,19.815
Algeria,DZA,AFRO,REPORTING,8/16/2021,,,,,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",1/30/2021,3,,,,Algeria,DZA,0
American Samoa,ASM,WPRO,REPORTING,8/9/2021,52769,29210,95.601,52.92,24104,43.669,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",12/21/2020,3,,,,American Samoa,ASM,43.669
Andorra,AND,EURO,OWID,8/1/2021,86320,50747,111.719,65.679,35573,46.04,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,,,,Andorra,AND,46.04
Angola,AGO,AFRO,REPORTING,8/16/2021,1727488,1000191,5.256,3.043,727297,2.213,SII - Covishield,3/10/2021,1,,,,Angola,AGO,2.213
Anguilla,AIA,AMRO,REPORTING,8/13/2021,18457,9492,123.03,63.272,8965,59.759,AstraZeneca - Vaxzevria,2/5/2021,1,,,,Anguilla,AIA,59.759
Antigua and Barbuda,ATG,AMRO,REPORTING,8/13/2021,70129,38715,71.612,39.534,31414,32.078,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2/19/2021,4,,,,Antigua and Barbuda,ATG,32.078
Argentina,ARG,AMRO,REPORTING,8/13/2021,36038031,26484592,79.738,58.6,9553439,21.138,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",12/29/2020,5,,,,Argentina,ARG,21.138
Armenia,ARM,EURO,OWID,8/15/2021,220236,144573,7.432,4.879,75663,2.553,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3,,,,Armenia,ARM,2.553
Aruba,ABW,AMRO,REPORTING,8/13/2021,141205,73876,132.257,69.194,67329,63.062,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2/17/2021,2,,,,Aruba,ABW,63.062
Australia,AUS,WPRO,REPORTING,8/14/2021,13723146,9108510,53.817,35.72,4651958,18.243,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/21/2021,3,,,,Australia,AUS,18.243
Austria,AUT,EURO,OWID,8/16/2021,10188082,5396102,114.459,60.623,5015795,56.351,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4,,,,Austria,AUT,56.351
Azerbaijan,AZE,EURO,OWID,8/16/2021,5794483,3420144,57.149,33.732,2374339,23.417,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3,,,,Azerbaijan,AZE,23.417
Bahamas,BHS,AMRO,REPORTING,8/13/2021,110443,62863,28.085,15.986,47580,12.099,"AstraZeneca - Vaxzevria,SII - Covishield",3/14/2021,2,,,,Bahamas,BHS,12.099
Bahrain,BHR,EMRO,REPORTING,8/18/2021,2434005,1128205,143.044,66.304,1073383,63.082,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",11/4/2020,7,,,,Bahrain,BHR,63.082
Bangladesh,BGD,SEARO,REPORTING,8/17/2021,21728150,15797954,13.193,9.593,5930196,3.601,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8,,,,Bangladesh,BGD,3.601
Barbados,BRB,AMRO,REPORTING,8/13/2021,183493,100760,63.851,35.062,82733,28.789,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2/10/2021,3,,,,Barbados,BRB,28.789
Belarus,BLR,EURO,OWID,8/10/2021,2541745,1445967,26.899,15.302,1095778,11.596,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2,,,,Belarus,BLR,11.596
Belgium,BEL,EURO,OWID,8/15/2021,15602812,8289555,135.412,71.943,7654578,66.432,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4,,,,Belgium,BEL,66.432
Belize,BLZ,AMRO,REPORTING,8/13/2021,205129,145750,51.588,36.655,59379,14.933,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",3/1/2021,3,,,,Belize,BLZ,14.933
Benin,BEN,AFRO,REPORTING,8/16/2021,72999,50751,0.602,0.419,22221,0.183,"SII - Covishield,Sinovac - CoronaVac",3/29/2021,2,,,,Benin,BEN,0.183
Bermuda,BMU,AMRO,REPORTING,8/13/2021,83297,42074,133.761,67.564,41223,66.197,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2,,,,Bermuda,BMU,66.197
Bhutan,BTN,SEARO,REPORTING,8/15/2021,1035510,560963,134.202,72.701,474547,61.501,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,4,,,,Bhutan,BTN,61.501
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,8/13/2021,4942039,3373698,42.337,28.902,1976605,16.933,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,5,,,,Bolivia (Plurinational State of),BOL,16.933
Bonaire,XAA,AMRO,REPORTING,8/13/2021,28717,15382,137.303,73.545,13335,63.758,,,,,,,Bosnia and Herzegovina,BIH,9.988
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,4/9/2021,7391,5726,28.441,22.034,2965,11.41,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2/22/2021,2,,,,Botswana,BWA,6.694
Bosnia and Herzegovina,BIH,EURO,OWID,8/11/2021,865306,537608,26.375,16.386,327698,9.988,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,,,Brazil,BRA,21.365
Botswana,BWA,AFRO,REPORTING,8/16/2021,262236,262236,11.151,11.151,157423,6.694,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,4,,,,British Virgin Islands,VGB,41.118
